task_id,system_mode,complexity,domain,action_keyword,intended,n_smells,smells,n_smells_defs,smells_defs,n_extra_stmts,n_functions,n_stub,longest_body,sloc,cyclomatic,maintainability,halstead_volume,halstead_difficulty,halstead_effort,cognitive,comment_density,api_calls,n_output_tokens
long_method_basic_001,emphatic,basic,E-commerce,Recommend,long_method,2,dead_code;magic_number,2,dead_code;magic_number,0,12,0,7,56.000,27.000,59.197,199.177,4.295,855.557,10.000,7.143,9.000,553
long_method_basic_002,emphatic,basic,Finance,Analyze,long_method,1,magic_number,1,magic_number,0,9,4,8,37.000,17.000,73.931,57.359,1.500,86.039,6.000,16.216,18.000,384
long_method_basic_003,emphatic,basic,Healthcare,Report,long_method,2,dead_code;magic_number,2,dead_code;magic_number,4,5,2,4,44.000,17.000,71.132,158.643,4.400,698.028,18.000,25.000,16.000,514
long_method_basic_004,emphatic,basic,Scientific Computing,Measure,long_method,1,dead_code,1,dead_code,0,1,0,32,44.000,5.000,100.000,0.000,0.000,0.000,0.000,22.727,26.000,517
long_method_basic_005,emphatic,basic,General Software,Measure,long_method,1,magic_number,1,magic_number,2,8,0,9,44.000,15.000,73.187,81.749,2.500,204.373,7.000,18.182,11.000,471
long_method_basic_006,emphatic,basic,E-commerce,Write,long_method,0,,0,,0,7,4,4,37.000,12.000,75.271,27.000,1.800,48.600,9.000,13.514,5.000,327
long_method_basic_007,emphatic,basic,Finance,Recommend,long_method,0,,0,,0,7,5,8,27.000,9.000,100.000,0.000,0.000,0.000,0.000,18.519,6.000,223
long_method_intermediate_001,emphatic,intermediate,Healthcare,Implement,long_method,0,,0,,0,7,6,14,40.000,14.000,100.000,0.000,0.000,0.000,6.000,35.000,9.000,538
long_method_intermediate_002,emphatic,intermediate,Scientific Computing,Design,long_method,2,long_parameter_list;magic_number,3,duplicate_code;long_parameter_list;magic_number,0,9,0,8,50.000,22.000,70.776,135.707,2.778,376.963,10.000,24.000,11.000,655
long_method_intermediate_003,emphatic,intermediate,General Software,Analyze,long_method,1,dead_code,1,dead_code,0,8,7,13,36.000,14.000,82.526,33.688,0.500,16.844,6.000,38.889,7.000,353
long_method_intermediate_004,emphatic,intermediate,E-commerce,Recommend,long_method,2,dead_code;magic_number,2,dead_code;magic_number,0,7,0,7,35.000,11.000,80.387,68.532,1.636,112.144,6.000,37.143,17.000,550
long_method_intermediate_005,emphatic,intermediate,Finance,Measure,long_method,2,dead_code;duplicate_code,2,dead_code;duplicate_code,0,4,0,8,26.000,7.000,79.571,11.610,1.000,11.610,1.000,19.231,16.000,476
long_method_intermediate_006,emphatic,intermediate,Healthcare,Design,long_method,1,dead_code,1,dead_code,0,11,0,7,59.000,23.000,62.530,34.869,1.000,34.869,4.000,5.085,7.000,482
long_method_intermediate_007,emphatic,intermediate,Scientific Computing,Implement,long_method,0,,0,,0,7,6,14,40.000,14.000,100.000,0.000,0.000,0.000,6.000,35.000,9.000,538
long_method_advanced_001,emphatic,advanced,General Software,Implement,long_method,0,,0,,0,9,0,8,25.000,9.000,100.000,0.000,0.000,0.000,0.000,64.000,9.000,446
long_method_advanced_002,emphatic,advanced,E-commerce,Evaluate,long_method,2,dead_code;magic_number,2,dead_code;magic_number,10,10,7,3,39.000,15.000,80.720,41.513,1.500,62.270,4.000,43.590,11.000,412
long_method_advanced_003,emphatic,advanced,Finance,Write,long_method,1,duplicate_code,1,duplicate_code,0,,,,455.000,,,,,,,0.000,,4096
long_method_advanced_004,emphatic,advanced,Healthcare,Report,long_method,1,dead_code,1,dead_code,5,9,0,10,63.000,15.000,65.486,72.000,2.000,144.000,2.000,12.698,22.000,917
long_method_advanced_005,emphatic,advanced,Scientific Computing,List,long_method,1,magic_number,1,magic_number,0,7,0,5,46.000,20.000,71.142,205.000,3.640,746.200,14.000,26.087,2.000,545
long_method_advanced_006,emphatic,advanced,General Software,Compare,long_method,1,dead_code,1,dead_code,0,8,0,8,70.000,23.000,39.158,470.811,4.930,2321.209,22.000,0.000,14.000,663
long_parameter_list_basic_001,emphatic,basic,E-commerce,List,long_parameter_list,1,long_parameter_list,1,long_parameter_list,0,1,0,10,42.000,1.000,100.000,0.000,0.000,0.000,0.000,7.143,8.000,383
long_parameter_list_basic_002,emphatic,basic,Finance,Design,long_parameter_list,2,long_parameter_list;magic_number,2,long_parameter_list;magic_number,1,1,0,16,49.000,8.000,76.550,12.000,0.667,8.000,8.000,12.245,17.000,494
long_parameter_list_basic_003,emphatic,basic,Healthcare,Report,long_parameter_list,3,dead_code;long_parameter_list;magic_number,3,dead_code;long_parameter_list;magic_number,0,1,0,10,27.000,12.000,70.493,325.705,3.387,1103.195,13.000,14.815,0.000,304
long_parameter_list_basic_004,emphatic,basic,Scientific Computing,Analyze,long_parameter_list,1,long_parameter_list,1,long_parameter_list,1,1,0,8,45.000,4.000,80.573,98.099,2.462,241.475,3.000,15.556,7.000,454
long_parameter_list_basic_005,emphatic,basic,General Software,Evaluate,long_parameter_list,2,long_parameter_list;magic_number,2,long_parameter_list;magic_number,0,1,0,4,22.000,2.000,73.176,4.755,0.500,2.377,2.000,0.000,3.000,188
long_parameter_list_basic_006,emphatic,basic,E-commerce,Implement,long_parameter_list,2,dead_code;long_parameter_list,2,dead_code;long_parameter_list,0,1,0,2,16.000,1.000,100.000,0.000,0.000,0.000,0.000,12.500,0.000,144
long_parameter_list_basic_007,emphatic,basic,Finance,Recommend,long_parameter_list,3,dead_code;long_parameter_list;magic_number,3,dead_code;long_parameter_list;magic_number,0,1,0,8,17.000,4.000,93.979,12.000,0.667,8.000,4.000,47.059,10.000,365
long_parameter_list_intermediate_001,emphatic,intermediate,Healthcare,Compare,long_parameter_list,2,dead_code;long_parameter_list,2,dead_code;long_parameter_list,0,2,1,6,16.000,3.000,100.000,0.000,0.000,0.000,1.000,50.000,7.000,289
long_parameter_list_intermediate_002,emphatic,intermediate,Scientific Computing,Implement,long_parameter_list,1,long_parameter_list,1,long_parameter_list,1,1,0,13,15.000,1.000,100.000,0.000,0.000,0.000,0.000,26.667,2.000,299
long_parameter_list_intermediate_003,emphatic,intermediate,General Software,Design,long_parameter_list,1,long_parameter_list,1,long_parameter_list,3,1,0,16,38.000,3.000,100.000,0.000,0.000,0.000,0.000,2.632,2.000,345
long_parameter_list_intermediate_004,emphatic,intermediate,E-commerce,Design,long_parameter_list,2,long_parameter_list;magic_number,2,long_parameter_list;magic_number,0,1,0,14,51.000,22.000,67.775,337.526,5.091,1718.313,26.000,25.490,19.000,682
long_parameter_list_intermediate_005,emphatic,intermediate,Finance,Recommend,long_parameter_list,2,dead_code;long_parameter_list,2,dead_code;long_parameter_list,0,1,0,24,123.000,6.000,83.824,2.000,0.500,1.000,5.000,16.260,16.000,1311
long_parameter_list_intermediate_006,emphatic,intermediate,Healthcare,Measure,long_parameter_list,2,dead_code;long_parameter_list,2,dead_code;long_parameter_list,0,2,1,6,16.000,3.000,100.000,0.000,0.000,0.000,1.000,50.000,7.000,289
long_parameter_list_intermediate_007,emphatic,intermediate,Scientific Computing,Recommend,long_parameter_list,1,long_parameter_list,1,long_parameter_list,1,1,0,13,15.000,1.000,100.000,0.000,0.000,0.000,0.000,26.667,2.000,299
long_parameter_list_advanced_001,emphatic,advanced,General Software,Recommend,long_parameter_list,1,long_parameter_list,1,long_parameter_list,0,1,1,1,28.000,1.000,100.000,0.000,0.000,0.000,0.000,3.571,0.000,122
long_parameter_list_advanced_002,emphatic,advanced,E-commerce,Evaluate,long_parameter_list,1,long_parameter_list,1,long_parameter_list,0,1,0,23,48.000,5.000,100.000,0.000,0.000,0.000,4.000,4.167,4.000,442
long_parameter_list_advanced_003,emphatic,advanced,Finance,List,long_parameter_list,1,long_parameter_list,1,long_parameter_list,0,1,0,2,25.000,1.000,100.000,0.000,0.000,0.000,0.000,4.000,0.000,293
long_parameter_list_advanced_004,emphatic,advanced,Healthcare,Report,long_parameter_list,1,long_parameter_list,1,long_parameter_list,1,1,0,24,53.000,3.000,100.000,0.000,0.000,0.000,0.000,1.887,1.000,484
long_parameter_list_advanced_005,emphatic,advanced,Scientific Computing,Implement,long_parameter_list,1,long_parameter_list,1,long_parameter_list,0,1,1,1,2.000,1.000,100.000,0.000,0.000,0.000,0.000,50.000,0.000,106
long_parameter_list_advanced_006,emphatic,advanced,General Software,Evaluate,long_parameter_list,1,long_parameter_list,1,long_parameter_list,0,1,1,1,28.000,1.000,100.000,0.000,0.000,0.000,0.000,3.571,0.000,122
god_class_basic_001,emphatic,basic,E-commerce,Implement,,0,,0,,0,10,0,5,53.000,23.000,53.533,101.950,1.500,152.925,10.000,1.887,12.000,542
god_class_basic_002,emphatic,basic,Finance,Measure,,0,,0,,0,10,0,3,42.000,19.000,75.769,58.603,2.500,146.508,8.000,23.810,5.000,488
god_class_basic_003,emphatic,basic,Healthcare,List,,2,dead_code;inefficient_loop,2,dead_code;inefficient_loop,0,12,0,4,60.000,32.000,50.852,120.405,3.375,406.366,20.000,1.667,5.000,420
god_class_basic_004,emphatic,basic,Scientific Computing,Analyze,,0,,0,,0,7,0,2,24.000,10.000,89.098,4.755,0.500,2.377,2.000,25.000,9.000,294
god_class_basic_005,emphatic,basic,General Software,Measure,,0,,0,,0,7,0,11,68.000,9.000,100.000,0.000,0.000,0.000,0.000,0.000,12.000,633
god_class_basic_006,emphatic,basic,E-commerce,Analyze,,2,dead_code;duplicate_code,2,dead_code;duplicate_code,0,9,0,4,56.000,20.000,69.008,38.054,2.000,76.107,11.000,14.286,18.000,587
god_class_basic_007,emphatic,basic,Finance,List,,0,,0,,0,17,4,6,56.000,24.000,63.521,41.513,1.500,62.270,8.000,7.143,1.000,477
god_class_intermediate_001,emphatic,intermediate,Healthcare,Compare,,1,dead_code,1,dead_code,1,5,0,4,22.000,4.000,65.016,4.755,0.500,2.377,0.000,0.000,9.000,183
god_class_intermediate_002,emphatic,intermediate,Scientific Computing,Recommend,,0,,0,,0,11,7,4,35.000,17.000,73.762,72.000,2.727,196.364,4.000,20.000,2.000,368
god_class_intermediate_003,emphatic,intermediate,General Software,Design,,0,,0,,0,9,0,9,30.000,12.000,61.557,4.755,0.500,2.377,2.000,0.000,14.000,368
god_class_intermediate_004,emphatic,intermediate,E-commerce,Measure,,1,dead_code,1,dead_code,0,10,0,9,72.000,18.000,63.628,12.000,0.500,6.000,10.000,5.556,10.000,908
god_class_intermediate_005,emphatic,intermediate,Finance,Compare,,2,dead_code;inefficient_loop,2,dead_code;inefficient_loop,0,26,0,9,123.000,43.000,38.848,208.076,1.500,312.114,17.000,0.813,3.000,925
god_class_intermediate_006,emphatic,intermediate,Healthcare,Write,,1,dead_code,1,dead_code,1,5,0,4,22.000,4.000,65.016,4.755,0.500,2.377,0.000,0.000,9.000,183
god_class_intermediate_007,emphatic,intermediate,Scientific Computing,Write,,0,,0,,0,11,7,4,35.000,17.000,73.762,72.000,2.727,196.364,4.000,20.000,2.000,368
god_class_advanced_001,emphatic,advanced,General Software,Implement,,0,,0,,5,16,5,6,79.000,32.000,54.721,201.776,4.875,983.657,15.000,7.595,13.000,716
god_class_advanced_002,emphatic,advanced,E-commerce,Design,,0,,0,,0,12,11,10,44.000,34.000,100.000,0.000,0.000,0.000,0.000,25.000,10.000,314
god_class_advanced_003,emphatic,advanced,Finance,List,,0,,0,,0,11,0,3,43.000,22.000,68.126,116.692,1.000,116.692,9.000,16.279,2.000,585
god_class_advanced_004,emphatic,advanced,Healthcare,Implement,,1,dead_code,1,dead_code,0,14,0,10,55.000,19.000,49.254,28.529,1.500,42.794,5.000,0.000,18.000,546
god_class_advanced_005,emphatic,advanced,Scientific Computing,Analyze,,1,dead_code,1,dead_code,0,11,0,10,37.000,13.000,100.000,0.000,0.000,0.000,0.000,0.000,1.000,274
god_class_advanced_006,emphatic,advanced,General Software,Write,,0,,0,,0,13,0,9,42.000,18.000,100.000,0.000,0.000,0.000,5.000,0.000,5.000,352
feature_envy_basic_001,emphatic,basic,E-commerce,Compare,,0,,0,,0,2,0,6,14.000,6.000,65.352,20.897,0.750,15.673,0.000,0.000,0.000,123
feature_envy_basic_002,emphatic,basic,Finance,Compare,,0,,0,,0,2,0,3,17.000,7.000,71.869,4.755,0.500,2.377,1.000,0.000,4.000,135
feature_envy_basic_003,emphatic,basic,Healthcare,Design,,1,magic_number,1,magic_number,0,3,0,7,18.000,9.000,55.829,183.317,3.095,567.410,3.000,0.000,2.000,177
feature_envy_basic_004,emphatic,basic,Scientific Computing,Evaluate,,0,,0,,0,2,0,6,10.000,4.000,100.000,0.000,0.000,0.000,0.000,50.000,0.000,145
feature_envy_basic_005,emphatic,basic,General Software,Implement,,1,dead_code,1,dead_code,0,7,5,6,26.000,14.000,80.556,25.850,0.500,12.925,5.000,19.231,5.000,222
feature_envy_basic_006,emphatic,basic,E-commerce,Report,,0,,0,,0,,,,9.000,,,,,,,77.778,,160
feature_envy_intermediate_001,emphatic,intermediate,Finance,Implement,,0,,0,,0,2,0,8,19.000,12.000,100.000,0.000,0.000,0.000,0.000,10.526,2.000,228
feature_envy_intermediate_002,emphatic,intermediate,Healthcare,Recommend,,0,,0,,0,2,0,1,32.000,7.000,78.144,70.324,1.500,105.486,1.000,25.000,2.000,433
feature_envy_intermediate_003,emphatic,intermediate,Scientific Computing,Report,,0,,0,,0,2,0,9,13.000,4.000,62.530,66.568,0.875,58.247,0.000,0.000,0.000,164
feature_envy_intermediate_004,emphatic,intermediate,General Software,Recommend,,1,magic_number,1,magic_number,0,2,0,6,19.000,10.000,86.400,34.869,1.750,61.021,4.000,21.053,2.000,184
feature_envy_intermediate_005,emphatic,intermediate,E-commerce,Compare,,0,,0,,0,2,0,7,35.000,19.000,60.194,114.221,1.667,190.368,20.000,2.857,0.000,252
feature_envy_intermediate_006,emphatic,intermediate,Finance,Evaluate,,0,,0,,0,2,0,8,19.000,12.000,100.000,0.000,0.000,0.000,0.000,10.526,2.000,228
feature_envy_advanced_001,emphatic,advanced,Healthcare,Report,,0,,0,,0,3,1,7,20.000,17.000,84.525,87.568,2.500,218.921,8.000,40.000,2.000,290
feature_envy_advanced_002,emphatic,advanced,Scientific Computing,Implement,,1,long_parameter_list,1,long_parameter_list,0,2,0,8,23.000,9.000,76.060,79.954,2.800,223.872,7.000,13.043,1.000,296
feature_envy_advanced_003,emphatic,advanced,General Software,Implement,,1,magic_number,1,magic_number,5,4,0,5,34.000,12.000,75.206,131.770,2.353,310.046,6.000,20.588,11.000,429
feature_envy_advanced_004,emphatic,advanced,E-commerce,List,,0,,0,,0,2,0,10,23.000,4.000,100.000,0.000,0.000,0.000,0.000,8.696,0.000,199
feature_envy_advanced_005,emphatic,advanced,Finance,Design,,0,,0,,0,3,0,10,24.000,5.000,100.000,0.000,0.000,0.000,0.000,50.000,1.000,353
feature_envy_advanced_006,emphatic,advanced,Healthcare,Analyze,,0,,0,,0,3,1,7,20.000,17.000,84.525,87.568,2.500,218.921,8.000,40.000,2.000,290
data_clumps_basic_001,emphatic,basic,E-commerce,Report,,1,duplicate_code,0,,0,3,0,1,24.000,3.000,100.000,0.000,0.000,0.000,0.000,0.000,0.000,164
data_clumps_basic_002,emphatic,basic,Finance,Measure,,0,,1,dead_code,5,2,0,5,16.000,4.000,92.586,25.266,1.200,30.319,1.000,50.000,8.000,405
data_clumps_basic_003,emphatic,basic,Healthcare,Analyze,,0,,0,,3,2,0,10,17.000,2.000,82.709,201.909,3.682,743.392,0.000,29.412,8.000,313
