task_id,source,result,n_smells,smells,n_smells_defs,smells_defs,n_extra_stmts,sloc,cyclomatic,maintainability,halstead_volume,halstead_difficulty,halstead_effort,cognitive,comment_density,api_calls,perplexity,bleu,chrf,rouge_l,meteor,codebleu,ast_similarity,codebert_score,bertscore,canon_sloc,canon_cyclomatic,canon_maintainability,canon_halstead_volume,canon_halstead_difficulty,canon_halstead_effort,canon_cognitive,canon_comment_density,canon_api_calls,canon_perplexity,n_output_tokens
HumanEval_0,humaneval,pass,0,,0,,0,7.000,4.000,95.214,28.529,1.500,42.794,6.000,0.000,3.000,2.399,24.230,42.614,50.980,,32.081,58.716,80.978,92.499,9.000,5.000,95.606,28.529,1.500,42.794,10.000,0.000,2.000,2.468,191
HumanEval_1,humaneval,pass,1,magic_number,1,magic_number,0,15.000,5.000,60.029,72.648,2.625,190.701,7.000,0.000,4.000,1.813,24.645,34.296,34.483,,22.158,67.027,82.424,93.371,16.000,5.000,89.399,47.549,2.500,118.872,7.000,0.000,3.000,3.479,228
HumanEval_2,humaneval,pass,0,,0,,5,7.000,1.000,100.000,4.755,0.500,2.377,0.000,85.714,3.000,2.228,13.135,62.458,50.000,,33.948,55.556,76.575,87.923,2.000,1.000,65.110,4.755,0.500,2.377,0.000,0.000,0.000,7.242,141
HumanEval_3,humaneval,pass,0,,0,,2,10.000,3.000,94.826,22.459,1.875,42.110,3.000,30.000,2.000,2.801,100.000,100.000,100.000,,100.000,100.000,100.000,100.000,8.000,3.000,96.413,13.932,1.333,18.575,3.000,0.000,0.000,4.923,100
HumanEval_4,humaneval,pass,0,,0,,0,4.000,2.000,80.592,27.000,1.000,27.000,0.000,0.000,3.000,3.700,100.000,100.000,100.000,,100.000,100.000,100.000,100.000,4.000,2.000,80.592,27.000,1.000,27.000,0.000,0.000,3.000,3.654,246
HumanEval_5,humaneval,pass,0,,0,,2,10.000,3.000,69.446,15.510,1.000,15.510,3.000,0.000,5.000,2.115,32.149,59.602,52.381,,31.373,63.551,88.381,93.654,10.000,3.000,98.546,12.000,1.500,18.000,2.000,0.000,1.000,2.691,117
HumanEval_6,humaneval,pass,1,magic_number,1,magic_number,0,15.000,6.000,89.295,49.829,3.333,166.096,11.000,0.000,2.000,3.630,24.305,32.416,32.500,,18.192,64.706,86.043,93.870,13.000,3.000,93.626,25.266,2.250,56.849,10.000,0.000,3.000,3.885,294
HumanEval_7,humaneval,pass,0,,0,,2,5.000,3.000,100.000,4.755,0.500,2.377,0.000,60.000,2.000,2.832,38.827,68.499,70.000,,72.057,100.000,95.679,95.536,3.000,3.000,87.852,4.755,0.500,2.377,0.000,0.000,0.000,2.972,105
HumanEval_8,humaneval,pass,0,,0,,0,8.000,3.000,100.000,4.755,0.500,2.377,1.000,0.000,2.000,2.346,2.147,20.559,23.077,,2.434,34.043,77.011,83.865,8.000,2.000,98.193,13.932,1.333,18.575,1.000,0.000,0.000,2.430,249
HumanEval_9,humaneval,fail,1,dead_code,1,dead_code,0,10.000,3.000,73.041,4.755,0.500,2.377,3.000,0.000,1.000,1.981,6.729,24.150,36.667,,18.903,65.347,81.843,92.162,11.000,3.000,100.000,4.755,0.500,2.377,4.000,0.000,2.000,2.998,203
HumanEval_10,humaneval,pass,0,,0,,0,9.000,5.000,84.558,49.829,1.929,96.099,4.000,0.000,3.000,3.082,100.000,100.000,100.000,,100.000,100.000,100.000,100.000,9.000,4.000,84.782,60.944,2.500,152.361,2.000,0.000,1.000,3.175,347
HumanEval_11,humaneval,pass,1,dead_code,1,dead_code,0,3.000,2.000,95.009,4.755,0.500,2.377,0.000,0.000,4.000,3.500,39.506,42.986,57.895,,28.124,70.886,83.662,85.311,8.000,2.000,100.000,4.755,0.500,2.377,5.000,0.000,3.000,3.011,121
HumanEval_12,humaneval,pass,0,,0,,0,6.000,2.000,80.649,2.000,0.500,1.000,2.000,0.000,1.000,2.434,11.681,39.905,47.059,,36.037,50.000,83.259,91.780,8.000,5.000,96.698,11.610,1.000,11.610,4.000,0.000,2.000,2.696,50
HumanEval_13,humaneval,pass,0,,0,,0,4.000,2.000,93.076,13.932,1.333,18.575,1.000,0.000,0.000,1.924,75.086,85.955,94.737,,81.460,94.118,96.936,97.303,4.000,2.000,96.345,4.755,0.500,2.377,1.000,0.000,0.000,2.065,101
